,0,1,2,3
0,Kitanoumi,179,169,3
1,Juan Carlos Zabala (Argentina),163.83,54.87528344671202,1
2,Hidenoyama,164,150,3
3,Onishiki (I)Uichiro,175,139,3
4,Kisenosato,188,177,3
5,Delfo Cabrera (Argentina),171.45000000000002,58.95691609977324,1
6,Abebe Bikila (Ethiopia),177.8,57.14285714285714,1
7,DominickBarlow,205.74,97.50566893424036,2
8,Nishinoumi II,185,139,3
9,Kenneth McArthur (South Africa),187.96,77.09750566893423,1
10,Tochinoumi,177,110,3
11,Emil ZÃ¡topek (Czech),182.88,72.10884353741497,1
12,DariusBazley,203.2,94.33106575963718,2
13,Asashio IV,188,135,3
14,Maedayama,180,117,3
15,Akebono,203,233,3
16,Waldemar Cierpinski (East Germany),168.91,58.95691609977324,1
17,Tochinishiki,177,132,3
18,LaMarcusAldridge,210.82,113.37868480725623,2
19,Gezahegne Abera (Ethiopia),165.1,58.04988662131519,1
20,Mienoumi,181,135,3
21,Hannes Kolehmainen (Finland),167.64000000000001,57.14285714285714,1
22,PreciousAchiuwa,203.2,102.0408163265306,2
23,Wakanohana III,180,134,3
24,Onogawa,176,142,3
25,CarmeloAnthony,200.66,107.93650793650794,2
26,MalikBeasley,193.04,84.80725623582767,2
27,JoseAlvarado,182.88,81.17913832199547,2
28,Albin Stenroos (Finland),172.72,63.945578231292515,1
29,Terunofuji,192,184,3
30,Kee-Chung Sohn (Japan),170.18,59.86394557823129,1
31,Hokutoumi,181,151,3
32,Jinmaku,174,138,3
33,Mamo Wolde (Ethiopia),168.91,53.96825396825397,1
34,Kakuryu,186,154,3
35,Nishinoumi I,176,127,3
36,ColeAnthony,190.5,83.90022675736961,2
37,Samuel Kamau Wansiru (Kenya),162.56,52.15419501133787,1
38,Tochigiyama,172,104,3
39,OGAnunoby,200.66,105.21541950113378,2
40,Musashimaru,192,235,3
41,Haguroyama,179,130,3
42,Tamanoumi,177,134,3
43,William Sherring (Canada),165.1,53.96825396825397,1
44,Hitachiyama,175,146,3
45,Chiyonofuji,183,127,3
46,Frank Shorter (USA),177.8,60.77097505668934,1
47,Eliud Kipchoge (Kenya),167.64000000000001,57.14285714285714,1
48,HugoBesson,185.42,88.88888888888889,2
49,LaMeloBall,200.66,81.63265306122449,2
50,Asashoryu,185,143,3
51,Yoshibayama,179,143,3
52,Inazuma,188,145,3
53,Hwang Yeong-Jo (Korea),167.64000000000001,57.14285714285714,1
54,Waldemar Cierpinski (East Germany),168.91,58.95691609977324,1
55,Kitanofuji,185,135,3
56,Ozutsu,197,134,3
57,KyleAnderson,205.74,104.30839002267574,2
58,ThanasisAntetokounmpo,198.12,99.31972789115646,2
59,Asahifuji,189,143,3
60,UdokaAzubuike,213.36,122.44897959183673,2
61,Thomas Hicks (USA),167.64000000000001,59.86394557823129,1
62,Futahaguro,199,157,3
63,WillBarton,195.57999999999998,82.08616780045351,2
64,BamAdebayo,205.74,115.64625850340136,2
65,Takanohana II,183,150,3
66,RJBarrett,198.12,97.05215419501134,2
67,John Hayes (USA),162.56,54.87528344671202,1
68,Tamanishiki,173,136,3
69,Shiranui II,177,120,3
70,BismackBiyombo,203.2,115.64625850340136,2
71,Akinoumi,177,128,3
72,ScottieBarnes,200.66,102.0408163265306,2
73,Abebe Bikila (Ethiopia),177.8,57.14285714285714,1
74,SaddiqBey,200.66,97.50566893424036,2
75,Alain Mimoun (France),170.18,55.78231292517007,1
76,DalanoBanton,200.66,92.51700680272108,2
77,Carlos Lopes (Portugal),166.37,54.87528344671202,1
78,Nishinoumi III,183,116,3
79,MarvinBagley III,210.82,106.57596371882086,2
80,DeandreAyton,210.82,113.37868480725623,2
81,GiannisAntetokounmpo,210.82,109.75056689342404,2
82,Minanogawa,191,146,3
83,BradleyBeal,193.04,93.87755102040816,2
84,Onishiki (II)Daigoro,176,112,3
85,Takanosato,182,159,3
86,Terukuni,174,162,3
87,Eliud Kipchoge (Kenya),167.64000000000001,52.15419501133787,1
88,MoBamba,213.36,104.76190476190476,2
89,GraysonAllen,193.04,89.79591836734694,2
90,Tsunenohana,178,115,3
91,Onokuni,189,203,3
92,Sadanoyama,182,129,3
93,SantiAldama,210.82,97.50566893424036,2
94,Harumafuji,186,137,3
95,Kashiwado,188,139,3
96,PaoloBanchero,208.28,113.37868480725623,2
97,Gelindo Bordin (Italy),180.34,68.02721088435374,1
98,Kimenzan,188,140,3
99,PatrickBaldwin Jr.,205.74,99.77324263038548,2
100,Raiden,197,169,3
101,Musashiyama,185,116,3
102,HarrisonBarnes,203.2,102.0408163265306,2
103,CharlesBassey,205.74,104.30839002267574,2
104,Otori,174,113,3
105,DeniAvdija,205.74,95.23809523809524,2
106,KentBazemore,193.04,88.43537414965986,2
107,JarrettAllen,208.28,110.20408163265306,2
108,Chiyonoyama,190,122,3
109,MarJonBeauchamp,198.12,90.24943310657596,2
110,Wajima,186,132,3
111,D.J.Augustin,180.34,82.99319727891157,2
112,Okido,178,125,3
113,Sakaigawa,170,128,3
114,KeljinBlevins,193.04,90.70294784580499,2
115,Umegatani I,176,105,3
116,Ayagawa,197,170,3
117,NickeilAlexander-Walker,195.57999999999998,92.9705215419501,2
118,DesmondBane,195.57999999999998,97.50566893424036,2
