,0,1,2,3,4,5,6
0,1904,Thomas Hicks (USA),3:28:53,167.64000000000001,59.86394557823129,21.3,1
1,1906,William Sherring (Canada),2:51:23.6,165.1,53.96825396825397,19.8,1
2,1908,John Hayes (USA),2:55:18.4,162.56,54.87528344671202,21.0,1
3,1912,Kenneth McArthur (South Africa),2:36:54.8,187.96,77.09750566893423,21.8,1
4,1920,Hannes Kolehmainen (Finland),2:32:35.8,167.64000000000001,57.14285714285714,20.2,1
5,1924,Albin Stenroos (Finland),2:41:22.6,172.72,63.945578231292515,21.4,1
6,1932,Juan Carlos Zabala (Argentina),2:31:36.0,163.83,54.87528344671202,20.2,1
7,1936,Kee-Chung Sohn (Japan),2:29:19.2,170.18,59.86394557823129,20.8,1
8,1948,Delfo Cabrera (Argentina),2:34:51.6,171.45000000000002,58.95691609977324,19.9,1
9,1952,Emil Zátopek (Czech),2:23:03.2,182.88,72.10884353741497,21.7,1
10,1956,Alain Mimoun (France),2:25:00.0,170.18,55.78231292517007,19.4,1
11,1960,Abebe Bikila (Ethiopia),2:15:16.2,177.8,57.14285714285714,18.2,1
12,1964,Abebe Bikila (Ethiopia),2:12:11.2,177.8,57.14285714285714,18.2,1
13,1968,Mamo Wolde (Ethiopia),2:20:26.4,168.91,53.96825396825397,18.7,1
14,1972,Frank Shorter (USA),2:12:19.8,177.8,60.77097505668934,19.3,1
15,1976,Waldemar Cierpinski (East Germany),2:09:55,168.91,58.95691609977324,20.4,1
16,1980,Waldemar Cierpinski (East Germany),2:11:03,168.91,58.95691609977324,20.4,1
17,1984,Carlos Lopes (Portugal),2:09:21,166.37,54.87528344671202,19.7,1
18,1988,Gelindo Bordin (Italy),2:10:32,180.34,68.02721088435374,21.0,1
19,1992,Hwang Yeong-Jo (Korea),2:13:23,167.64000000000001,57.14285714285714,20.2,1
20,1996,Josia Thugwane (South Africa),2:12:36,157.48000000000002,44.89795918367347,18.0,1
21,2000,Gezahegne Abera (Ethiopia),2:10:11,165.1,58.04988662131519,21.0,1
22,2004,Stefano Baldini (Italy),2:10:55,176.53,62.131519274376416,20.0,1
23,2008,Samuel Kamau Wansiru (Kenya),2:06.32,162.56,52.15419501133787,19.6,1
24,2012,Stephen Kiprotich (Uganda),2:08:01,172.72,55.78231292517007,19.6,1
25,2016,Eliud Kipchoge (Kenya),2:08:44,167.64000000000001,57.14285714285714,20.4,1
26,2021,Eliud Kipchoge (Kenya),2:08:44,167.64000000000001,52.15419501133787,18.6,1
