,0,1,2,3,4,5,6,7,8
0,PreciousAchiuwa,TOR,5,F,203.2,102.0408163265306,Memphis,Nigeria,2
1,StevenAdams,MEM,4,C,210.82,120.18140589569161,Pittsburgh,New Zealand,2
2,BamAdebayo,MIA,13,C-F,205.74,115.64625850340136,Kentucky,USA,2
3,OchaiAgbaji,UTA,30,G,195.57999999999998,97.50566893424036,Kansas,USA,2
4,SantiAldama,MEM,7,F-C,210.82,97.50566893424036,Loyola-Maryland,Spain,2
5,LaMarcusAldridge,BKN,21,C-F,210.82,113.37868480725623,Texas-Austin,USA,2
6,NickeilAlexander-Walker,UTA,6,G,195.57999999999998,92.9705215419501,Virginia Tech,Canada,2
7,GraysonAllen,MIL,7,G,193.04,89.79591836734694,Duke,USA,2
8,JarrettAllen,CLE,31,C,208.28,110.20408163265306,Texas-Austin,USA,2
9,JoseAlvarado,NOP,15,G,182.88,81.17913832199547,Georgia Tech,USA,2
10,KyleAnderson,MIN,1,F-G,205.74,104.30839002267574,UCLA,USA,2
11,GiannisAntetokounmpo,MIL,34,F,210.82,109.75056689342404,Filathlitikos,Greece,2
12,ThanasisAntetokounmpo,MIL,43,F,198.12,99.31972789115646,Panathinaikos,Greece,2
13,CarmeloAnthony,LAL,7,F,200.66,107.93650793650794,Syracuse,USA,2
14,ColeAnthony,ORL,50,G,190.5,83.90022675736961,North Carolina,USA,2
15,OGAnunoby,TOR,3,F,200.66,105.21541950113378,Indiana,United Kingdom,2
16,AdonisArms,DEN,,G,198.12,92.9705215419501,Texas Tech,USA,2
17,D.J.Augustin,LAL,4,G,180.34,82.99319727891157,Texas-Austin,USA,2
18,DeniAvdija,WAS,9,F,205.74,95.23809523809524,Maccabi Tel Aviv,Israel,2
19,DeandreAyton,PHX,22,C,210.82,113.37868480725623,Arizona,Bahamas,2
20,UdokaAzubuike,UTA,20,C-F,213.36,122.44897959183673,Kansas,Nigeria,2
21,MarvinBagley III,DET,35,F,210.82,106.57596371882086,Duke,USA,2
22,PatrickBaldwin Jr.,GSW,7,F,205.74,99.77324263038548,Wisconsin-Milwaukee,USA,2
23,LaMeloBall,CHA,2,G,200.66,81.63265306122449,Illawarra,USA,2
24,LonzoBall,CHI,2,G,198.12,86.16780045351473,UCLA,USA,2
25,MoBamba,ORL,5,C,213.36,104.76190476190476,Texas-Austin,USA,2
26,PaoloBanchero,ORL,5,F,208.28,113.37868480725623,Duke,USA,2
27,DesmondBane,MEM,22,G,195.57999999999998,97.50566893424036,TCU,USA,2
28,DalanoBanton,TOR,45,F,200.66,92.51700680272108,Nebraska,Canada,2
29,DominickBarlow,SAS,,F,205.74,97.50566893424036,,USA,2
30,HarrisonBarnes,SAC,40,F,203.2,102.0408163265306,North Carolina,USA,2
31,ScottieBarnes,TOR,4,F,200.66,102.0408163265306,Florida State,USA,2
32,RJBarrett,NYK,9,F-G,198.12,97.05215419501134,Duke,Canada,2
33,WillBarton,WAS,5,G,195.57999999999998,82.08616780045351,Memphis,USA,2
34,CharlesBassey,PHI,23,C-F,205.74,104.30839002267574,Western Kentucky,Nigeria,2
35,KeitaBates-Diop,SAS,31,F,203.2,103.8548752834467,Ohio State,USA,2
36,NicolasBatum,LAC,33,G-F,203.2,104.30839002267574,Le Mans,France,2
37,KentBazemore,LAL,9,G-F,193.04,88.43537414965986,Old Dominion,USA,2
38,DariusBazley,OKC,55,F,203.2,94.33106575963718,Princeton HS (OH),USA,2
39,BradleyBeal,WAS,3,G,193.04,93.87755102040816,Florida,USA,2
40,MalikBeasley,UTA,5,G,193.04,84.80725623582767,Florida State,USA,2
41,MarJonBeauchamp,MIL,,F,198.12,90.24943310657596,,USA,2
42,DavisBertans,DAL,44,F,208.28,102.0408163265306,Baskonia,Latvia,2
43,HugoBesson,MIL,,G,185.42,88.88888888888889,,France,2
44,PatrickBeverley,LAL,21,G,185.42,81.63265306122449,Arkansas,USA,2
45,SaddiqBey,DET,41,F,200.66,97.50566893424036,Villanova,USA,2
46,KhemBirch,TOR,24,C,205.74,105.6689342403628,UNLV,Canada,2
47,GogaBitadze,IND,88,C-F,213.36,113.37868480725623,Mega Basket,Georgia,2
48,BismackBiyombo,PHX,18,C,203.2,115.64625850340136,Baloncesto Fuenlabrada,DRC,2
49,KeljinBlevins,POR,21,G,193.04,90.70294784580499,Montana State,USA,2
