,0,1,2,3,4,5
0,Terunofuji,73,192cm/184kg,192,184,3
1,Asashoryu,68,185cm/143kg,185,143,3
2,Hakuho,69,192cm/158kg,192,158,3
3,Harumafuji,70,186cm/137kg,186,137,3
4,Kakuryu,71,186cm/154kg,186,154,3
5,Kisenosato,72,188cm/177kg,188,177,3
6,Akebono,64,203cm+/233kg,203,233,3
7,Takanohana II,65,183cm/150kg,183,150,3
8,Wakanohana III,66,180cm/134kg,180,134,3
9,Musashimaru,67,192cm/235kg+,192,235,3
10,Chiyonofuji,58,183cm/127kg,183,127,3
11,Takanosato,59,182cm/159kg,182,159,3
12,Futahaguro,60,199cm/157kg,199,157,3
13,Hokutoumi,61,181cm/151kg,181,151,3
14,Onokuni,62,189cm/203kg,189,203,3
15,Asahifuji,63,189cm/143kg,189,143,3
16,Tamanoumi,51,177cm/134kg,177,134,3
17,Kitanofuji,52,185cm/135kg,185,135,3
18,Kotozakura,53,182cm/150kg,182,150,3
19,Wajima,54,186cm/132kg,186,132,3
20,Kitanoumi,55,179cm/169kg,179,169,3
21,Wakanohana II,56,186cm/129kg,186,129,3
22,Mienoumi,57,181cm/135kg,181,135,3
23,Wakanohana I,45,179cm/105kg,179,105,3
24,Asashio IV,46,188cm/135kg,188,135,3
25,Kashiwado,47,188cm/139kg,188,139,3
26,Taiho,48,187cm/153kg,187,153,3
27,Tochinoumi,49,177cm/110kg,177,110,3
28,Sadanoyama,50,182cm/129kg,182,129,3
29,Chiyonoyama,41,190cm/122kg,190,122,3
30,Kagamisato,42,174cm/161kg,174,161,3
31,Yoshibayama,43,179cm/143kg,179,143,3
32,Tochinishiki,44,177cm/132kg,177,132,3
33,Futabayama,35,179cm/128kg,179,128,3
34,Haguroyama,36,179cm/130kg,179,130,3
35,Akinoumi,37,177cm/128kg,177,128,3
36,Terukuni,38,174cm/162kg,174,162,3
37,Maedayama,39,180cm/117kg,180,117,3
38,Azumafuji,40,179cm/178kg,179,178,3
39,Miyagiyama,29,176cm/113kg,176,113,3
40,Nishinoumi III,30,183cm/116kg,183,116,3
41,Tsunenohana,31,178cm/115kg,178,115,3
42,Tamanishiki,32,173cm/136kg,173,136,3
43,Musashiyama,33,185cm/116kg,185,116,3
44,Minanogawa,34,191cm/146kg,191,146,3
45,Tachiyama,22,185cm/139kg,185,139,3
46,Okido,23,178cm/125kg,178,125,3
47,Otori,24,174cm/113kg,174,113,3
48,Nishinoumi II,25,185cm/139kg,185,139,3
49,Onishiki (I)Uichiro,26,175cm/139kg,175,139,3
50,Tochigiyama,27,172cm/104kg-,172,104,3
51,Onishiki (II)Daigoro,28,176cm/112kg,176,112,3
52,Nishinoumi I,16,176cm/127kg,176,127,3
53,Konishiki,17,168cm-/130kg,168,130,3
54,Ozutsu,18,197cm/134kg,197,134,3
55,Hitachiyama,19,175cm/146kg,175,146,3
56,Umegatani II,20,168cm-/158kg,168,158,3
57,Wakashima,21,178cm/107kg,178,107,3
58,Unryu,10,178cm/135kg,178,135,3
59,Shiranui II,11,177cm/120kg,177,120,3
60,Jinmaku,12,174cm/138kg,174,138,3
61,Kimenzan,13,188cm/140kg,188,140,3
62,Sakaigawa,14,170cm/128kg,170,128,3
63,Umegatani I,15,176cm/105kg,176,105,3
64,Tanikaze,4,189cm/162kg,189,162,3
65,Onogawa,5,176cm/142kg,176,142,3
66,Onomatsu,6,173cm/135kg,173,135,3
67,Inazuma,7,188cm/145kg,188,145,3
68,Shiranui I,8,176cm/135kg,176,135,3
69,Hidenoyama,9,164cm/150kg,164,150,3
70,Raiden,36,197cm/169kg,197,169,3
71,Ayagawa,2,197cm/170kg,197,170,3
